Time,Community size,Prob_rest,Prob_graze,Prob_walk,DTW_score
2019/10/15 9:00,,,,,
2019/10/15 9:05,,,,,
2019/10/15 9:10,,,,,
2019/10/15 9:15,,,,,
2019/10/15 9:20,,,,,
2019/10/15 9:25,,,,,
2019/10/15 9:30,,,,,
2019/10/15 9:35,,,,,
2019/10/15 9:40,,,,,
2019/10/15 9:45,,,,,
2019/10/15 9:50,,,,,
2019/10/15 9:55,,,,,
2019/10/15 10:00,,,,,
2019/10/15 10:05,,,,,
2019/10/15 10:10,,,,,
2019/10/15 10:15,,,,,
2019/10/15 10:20,,,,,
2019/10/15 10:25,,,,,
2019/10/15 10:30,,,,,
2019/10/15 10:35,,,,,
2019/10/15 10:40,,,,,
2019/10/15 10:45,,,,,
2019/10/15 10:50,,,,,
2019/10/15 10:55,,,,,
2019/10/15 11:00,,,,,
2019/10/15 11:05,,,,,
2019/10/15 11:10,,,,,
2019/10/15 11:15,,,,,
2019/10/15 11:20,,,,,
2019/10/15 11:25,,,,,
2019/10/15 11:30,,,,,
2019/10/15 11:35,,,,,
2019/10/15 11:40,,,,,
2019/10/15 11:45,,,,,
2019/10/15 11:50,,,,,
2019/10/15 11:55,,,,,
2019/10/15 12:00,,,,,
2019/10/15 12:05,,,,,
2019/10/15 12:10,,,,,
2019/10/15 12:15,,,,,
2019/10/15 12:20,,,,,
2019/10/15 12:25,,,,,
2019/10/15 12:30,3,0,60,0,0.025
2019/10/15 12:35,7,11,49,0,0.128571429
2019/10/15 12:40,7,48,12,0,0.409722222
2019/10/15 12:45,3,0,60,0,0
2019/10/15 12:50,5,0,44,16,0.147916667
2019/10/15 12:55,9,0,60,0,0.016666667
2019/10/15 13:00,2,0,60,0,0.0375
2019/10/15 13:05,4,0,60,0,0.210416667
2019/10/15 13:10,5,0,49,11,0.158333333
2019/10/15 13:15,4,0,48,12,0.191666667
2019/10/15 13:20,1,0,60,0,0.208333333
2019/10/15 13:25,2,0,39,21,0.104166667
2019/10/15 13:30,1,0,44,16,0.166666667
2019/10/15 13:35,1,1,41,18,0.158333333
2019/10/15 13:40,1,53,7,0,0.275
2019/10/15 13:45,1,51,9,0,0.183333333
2019/10/15 13:50,1,57,3,0,0.108333333
2019/10/15 13:55,3,29,31,0,0.411111111
2019/10/15 14:00,1,5,8,47,nan
2019/10/15 14:05,7,6,12,42,0.39047619
2019/10/15 14:10,5,0,43,17,0.193333333
2019/10/15 14:15,6,1,50,9,0.105555556
2019/10/15 14:20,6,0,60,0,0.095833333
2019/10/15 14:25,4,0,60,0,0.075
2019/10/15 14:30,4,9,40,11,0.160416667
2019/10/15 14:35,6,3,57,0,0.301388889
2019/10/15 14:40,8,6,54,0,0.282291667
2019/10/15 14:45,1,0,60,0,0.091666667
2019/10/15 14:50,3,13,47,0,0.161111111
2019/10/15 14:55,1,0,56,4,0.033333333
2019/10/15 15:00,1,0,59,1,nan
2019/10/15 15:05,3,2,54,4,0.130555556
2019/10/15 15:10,4,0,60,0,0.183333333
2019/10/15 15:15,6,0,60,0,0.126388889
2019/10/15 15:20,6,0,60,0,0.208333333
2019/10/15 15:25,3,0,60,0,0.397222222
2019/10/15 15:30,5,0,60,0,0.1
2019/10/15 15:35,3,0,60,0,0.108333333
2019/10/15 15:40,5,6,42,12,0.156666667
2019/10/15 15:45,5,13,47,0,0.356666667
2019/10/15 15:50,7,13,47,0,0.339285714
2019/10/15 15:55,3,6,54,0,0.341666667
2019/10/15 16:00,6,2,33,25,nan
2019/10/15 16:05,3,16,44,0,0.169444444
